Site,Region,RCA,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
DUTCH GROUP,E GULF,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,
EAST CHUGACH,C GULF,10,,,,,,,,,,,,57,39,12,1,,0,,0,3,0,,0,,0,,0,,,0,0,0,0,,,0,,0,
EGG,E ALEU,6,,,,,,,0,81,,,,0,0,0,0,,22,,50,1,0,,0,,1,,5,,0,0,0,,84,,,35,10,,0
EGG (SAND POINT),W GULF,7,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,0,0,,,,,,0,,0
ELIZABETH/CAPE ELIZABETH,C GULF,10,,,,,,,,,,,,161,50,51,112,,114,,88,35,42,,78,,177,,28,,,0,0,0,0,,,0,,0,
EMERALD,E ALEU,6,,,,,,,,238,,,,0,0,0,0,,0,,,0,0,,0,,0,,0,,,0,0,,0,,,,0,,0
FENIMORE,C ALEU,4,,,,,,,,0,,,,0,,0,4,,6,,15,,23,,67,,22,,30,,10,9,4,,29,96,,,58,,117
FLAT,C GULF,10,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,4,,,44,0,,0,,,0,,0,
GARELOI,C ALEU,3,27,,,,,,,0,,,,,0,,0,,0,,0,,0,,0,,0,,,,,,0,,0,,,,0,,0
GLACIER,E GULF,10,,,,,,,,,,,,0,0,0,82,,348,,54,,284,,0,,435,,620,,466,531,509,724,564,862,,962,,1366,
GORE POINT,C GULF,10,,,,,,,,,,,,76,33,52,3,,0,,0,0,0,,0,,0,,0,,0,0,0,0,0,,,0,,0,
GRAMP ROCK,C ALEU,3,,1705,,,,,,1290,,,,747,712,773,691,,537,,582,,570,,580,,600,,679,583,,,593,442,504,,,,448,,
GRANITE CAPE,E GULF,10,,,,,,,,,,,,,,,0,,0,,37,,0,,0,,68,,1,,89,25,4,5,0,,,51,,99,
GREAT SITKIN,C ALEU,4,,312,,,,,,0,,,,,50,0,3,,0,,62,,56,,29,,106,,0,,0,0,0,,0,76,,,0,,0
HAGUE ROCK,W GULF,7,,,,,,,,,,,,,,,3,,,,2,76,0,,0,,1,,0,,0,0,1,,,,,,0,,0
HAWADAX (RAT),C ALEU,2,,73,,,,,,0,,,,0,,18,,,44,,39,,85,,2,,28,,45,,,,0,,,,,14,,,0
HERBERT,C ALEU,5,,46,,,,,,135,,,,40,75,81,5,,36,,18,,5,,6,,2,,38,,66,,105,,67,92,,,114,,130
HOOK POINT,E GULF,10,,,,,,,,,,,,,,,366,,154,,30,,2,,60,,258,,96,,101,132,261,,384,60,,9,,19,
HUNT,W GULF,7,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,0,,0,0,0,,,,,,0,,1
IGITKIN/SW POINT,C ALEU,4,,0,,,,,,0,,,,0,,,,,,,0,,0,,,,0,,0,,0,0,0,,0,0,,,0,,0
IKIGINAK,C ALEU,4,,5,,,,,,0,,,,0,0,0,0,,2,,5,,1,,0,,8,,0,,8,16,0,,0,4,,,0,,9
ILAK,C ALEU,3,,,,,,,,,,,,,,,16,,56,,28,,67,,42,,46,,45,,,,18,,32,,,,8,,
INGENSTREM ROCKS,W ALEU,1,,,,,,,,,,,,,,6,,,,,,,0,,3,,0,,0,,1,,0,,,0,0,,0,,0
INNER SIGNAL,E ALEU,6,,,,,,,,0,,,,,,,0,,0,,0,0,16,,0,,5,,38,,0,47,54,,28,,,91,49,,12
JUDE,W GULF,7,,,,,,,,315,,,,,200,363,352,,410,,355,434,450,,391,,374,,474,418,338,445,465,512,,698,,759,572,,684
KAGALASKA,C ALEU,4,,,,,,,,,,,,0,27,4,68,,50,,60,,43,,45,,34,,48,,0,3,42,,52,0,52,,15,,1
KAGAMIL,C ALEU,6,,143,,,,,,314,,,,17,23,25,9,,1,,10,,0,,24,,12,,1,,0,,0,,51,41,,,13,,
KAK,W GULF,8,,,,,,,,,,,,,185,172,132,,184,,201,235,236,,70,,108,,17,,24,,1,,27,,,210,,194,
KALIGAGAN,E ALEU,6,,,,,,,25,,,,,0,1,1,1,,2,,0,1,0,,0,,2,,1,,0,6,1,,,,,,1,,2
KANAGA/CAPE CHUNU,C ALEU,4,,,,,,,,,,,,,,,,,,,,,104,,0,,62,,9,,,82,69,18,21,0,,,0,,
KANAGA/CAPE MIGA,C ALEU,4,,14,,,,,,0,,,,0,,,,,,,34,,,,1,,0,,0,,0,0,0,,27,2,,,0,,0
